domain,company_name,segment,reasoning,employees,country,industry,keywords,short_description,linkedin_url,source_sheet,scrape_status,classified_by,prompt_version
adwalnut.com,Adwalnut,AFFILIATE_PERFORMANCE,Adwalnut is a white label affiliate tracking application that connects advertisers with publishers/creators through robust affiliate management.,52,India,marketing & advertising,"advertising services, marketing & advertising","Adwalnut is a white label affiliate tracking application, which enables robust and multi-channel affiliate tracking. Manage your affiliate network through our scalable, accurate and popular affiliate ",http://www.linkedin.com/company/adwalnut,INDIA,success,gpt-4o-mini,v1
adwinmedia.com,Adwin Media,AFFILIATE_PERFORMANCE,"Adwin Media connects advertisers with potential users through performance-driven advertising and affiliate networks, focusing on CPI/CPA campaigns.",17,India,marketing & advertising,"advertising services, performance marketing, strategy, long-term partnerships, ad-tech solutions, android and ios support, campaign optimization, ad performance analytics, campaign management, quality","Adwin Media is a digital marketing and performance-driven advertising company based in Noida, India. The company focuses on ROI-driven campaigns for app developers, leveraging direct client partnershi",http://www.linkedin.com/company/adwin-media,INDIA,success,gpt-4o-mini,v1
adwool.com,Adwool,AFFILIATE_PERFORMANCE,"Adwool is an international CPA network that specializes in performance-based online marketing, connecting advertisers with publishers and monetizing based on conversions.",13,United States,information technology & services,"advertising, traffic monetization, mobile advertising, mediabuying, mobile app marketing, android cpi traffic, mobile marketing, cpi network, affiliate marketing, ios cpi traffic, internet, informatio","ADWOOL is an international CPA network that specializes in providing performance based Online Marketing for Advertisers and Publishers. We have highly converting offers for multiple geos, private offe",http://www.linkedin.com/company/adwool,US,success,gpt-4o-mini,v1
adzhubmedia2016.com,Adzhubmedia,AFFILIATE_PERFORMANCE,"Adzhubmedia specializes in creating partnerships for advertisers and publishers, operating on various pricing models including CPA (Cost Per Action), indicating a focus on performance marketing and affiliate connections.",20,India,marketing & advertising,"mobile advertising & apps promote, advertising services, marketing & advertising","AdzHubMedia, also known as Adzhubmedia Private Limited, is a performance marketing company based in Delhi, India. Founded in 2016, the company specializes in creating partnerships for advertisers, pub",http://www.linkedin.com/company/adzhubmedia2016-private-limited,INDIA,success,gpt-4o-mini,v2
aff-mate.com,Affmate Media LLC,AFFILIATE_PERFORMANCE,Affmate Media LLC connects advertisers with publishers through affiliate marketing and performance-based advertising services.,50,United States,marketing & advertising,"seo optimization, analytics, insight, affiliate marketing, advertising services, information technology & services, marketing & advertising",,http://www.linkedin.com/company/affmate-media-llc,US,success,gpt-4o-mini,v1
affiliatetraction.com,AffiliateTraction,AFFILIATE_PERFORMANCE,"AffiliateTraction is the largest multi-national affiliate marketing agency, providing all-inclusive affiliate management and promotional services for global brands and retailers.",14,United States,internet,"internet marketplace platforms, information technology & services","AffiliateTraction was acquired in 2016 by eBay Enterprise

====

AffiliateTraction, with offices in Santa Cruz California, is the largest multi-national affiliate marketing agency in the world. 

We p",http://www.linkedin.com/company/afftrac,MIXED,error,gpt-4o-mini,v2
affiliator.com,Affiliator,AFFILIATE_PERFORMANCE,"Affiliator connects advertisers with publishers/creators through affiliate marketing, focusing on commission-based relationships.",16,Sweden,marketing & advertising,"affiliate marketing, google adwords, search engine optimization, advertising services, marketing & advertising, marketing, seo, information technology & services, search marketing","Since our beginning in 2006 we have focused on creating profitable, long-term relations between our Publishers and advertisers. Affiliator works with diffrent customers (advertisers) that offer a comm",http://www.linkedin.com/company/affiliator,UK_EU,success,gpt-4o-mini,v1
afflixtraffic.com,Afflix Traffic,AFFILIATE_PERFORMANCE,Afflix Traffic is a performance marketing agency that connects advertisers with publishers/creators for user acquisition and traffic monetization.,17,India,marketing & advertising,"advertising services, campaign management, tracking platform integration, data-driven solutions, facebook ads, advertising agencies, singular, app marketing, email marketing, appsflyer, traffic genera","Afflix Traffic is a performance marketing company based in Ghaziabad, Uttar Pradesh, founded in 2019. With a team of 10-50 employees, the company specializes in data-driven solutions for user acquisit",http://www.linkedin.com/company/afflix-traffic,INDIA,success,gpt-4o-mini,v1
affmine.com,Affmine - Affiliate Marketing Network,AFFILIATE_PERFORMANCE,"Affmine operates as an affiliate marketing network, connecting advertisers with publishers/creators through performance marketing and traffic optimization tools.",52,United States,marketing & advertising,"marketing services, affiliate network, traffic targeting tools, fraud detection, information technology & services, performance marketing, traffic optimization, offerwall integration, top verticals, s",Join the leading affiliate marketing network.,http://www.linkedin.com/company/affmine,US,success,gpt-4o-mini,v1
affridemedia.com,Affride Media,AFFILIATE_PERFORMANCE,"Affride Media specializes in affiliate marketing, offering services such as tracking multiple levels of affiliates, fraud detection, and campaign management, indicating a focus on performance-based marketing.",13,United States,marketing & advertising,"advertising services, marketing & advertising","Our team full of technical and marketing gurus will take care of every single aspect of your affiliate campaign. We track up to 10 levels of affiliates, detect fraud, set up pixels, and increase your ",http://www.linkedin.com/company/affride-media,MIXED,success,gpt-4o-mini,v2
algo-affiliates.com,Algo-Affiliates,AFFILIATE_PERFORMANCE,Algo-Affiliates is a performance marketing affiliate network that connects advertisers with publishers/creators and monetizes based on conversions and actions.,14,United States,marketing & advertising,"advertising services, marketing & advertising","Algo-Affiliates is The Leading Performance Marketing Affiliate Network.
Algo-Affiliates is a team of energetic and passionate performance marketers who are driven to achieve more. Algo-Affiliates star",http://www.linkedin.com/company/algoaffiliates,MIXED,success,gpt-4o-mini,v2
anapps.online,AnApps,AFFILIATE_PERFORMANCE,"The company provides tools for affiliate networks focused on improving traffic quality and monetization for advertisers, indicating a performance marketing platform.",10,United States,information technology & services,"marketing tools, geolocation, affiliate links, marketing automation, affiliate marketing, affiliate marketing software, technology, information & internet, marketing & advertising, saas, computer soft","In early 2015, the company's founders had identified a need for Apps for affiliate networks who are engaged in providing a better traffic quality for their advertisers and keeping focus on their netwo",http://www.linkedin.com/company/anapps,MIXED,ConnectError,gpt-4o-mini,v2
appitate.com,Appitate Company,AFFILIATE_PERFORMANCE,"Appitate operates as a mobile CPI/CPA affiliate network, connecting advertisers, publishers, and app developers, and monetizing based on conversions.",12,United States,marketing & advertising,"mobile user acquisition, digital marketing, performance marketing, mobile app promotion, marketing services, performance monitoring, timely payments, easy integration, traffic sources and optimization","Appitate is an international digital marketing company founded in 2017, specializing in mobile user acquisition, traffic monetization, and affiliate marketing. The company operates as a mobile CPI/CPA",http://www.linkedin.com/company/appitatellc,MIXED,success,gpt-4o-mini,v2
arbitrageleads.net,Arbitrage Leads,AFFILIATE_PERFORMANCE,Arbitrage Leads operates as a high-performance affiliate network connecting advertisers with affiliates to maximize revenues through various marketing strategies.,22,Bulgaria,marketing & advertising,"online marketing, cost per lead marketing, sales & marketing, affiliate marketing, cost per acquisition marketing, lead generation, cpa network, pay per call, digital marketing, affiliate network, cos","At Arbitrage Leads, we specialize in online payday and installment lead generation. Our personal loan marketplace allows consumers with a financial need to meet lenders.

We pride ourselves on our eth",http://www.linkedin.com/company/arbitrage-leads,UK_EU,success,gpt-4o-mini,v1
avantlink.com,AvantLink,AFFILIATE_PERFORMANCE,AvantLink is a prominent cost-per-sale affiliate marketing network that connects advertisers with publishers and focuses on performance marketing technology.,44,United States,marketing & advertising,"affiliate marketing, analytics, affiliate network, marketing, affiliate program management, attribution, ad technology, performance marketing, advertising, paid placement bidding, advertising services","AvantLink is a prominent cost-per-sale affiliate marketing network based in Park City, Utah, established in 2005. The company specializes in performance marketing technology, providing a platform for ",http://www.linkedin.com/company/avantlink,US,success,gpt-4o-mini,v1
beeleads.com.br,Beeleads,AFFILIATE_PERFORMANCE,"Beeleads operates as a performance marketing company focused on lead generation and affiliation, connecting advertisers with qualified traffic.",19,Brazil,marketing & advertising,"lead generation, affiliation, social media, email marketing, advertising services, marketing strategies, media tech solutions, technology solutions, media & entertainment, campaign optimization, media","Beeleads is a Brazilian performance marketing company based in São Paulo, operating since 2011 as part of the European Adclick Group. The company focuses on generating qualified leads and segmented tr",http://www.linkedin.com/company/beeleads,LATAM,success,gpt-4o-mini,v1
boaelite.com,BOAElite,AFFILIATE_PERFORMANCE,"BOA Elite is the largest affiliate network for financial products, connecting advertisers with publishers and focusing on affiliate marketing.",11,United States,marketing & advertising,"google adwords, mobile marketing, realtime tracking, content writing, pixel tracking, email marketing, media buy, optimization, translations, affiliate management, binary affiliate network, seo, landi","BOA Elite is the largest affiliate network for financial products. Gain access to more than 60 brands to promote, in 20+ languages, and target more than 30 countries across the globe, all under the BO",http://www.linkedin.com/company/boa-elite,MIXED,ReadTimeout,gpt-4o-mini,v2
brownboots.co,Brown Boots,AFFILIATE_PERFORMANCE,"Brown Boots is a sales agency focused on affiliate marketing, representing digital publishers and emphasizing direct partnerships and performance marketing.",10,United States,marketing & advertising,"contract sales agency, campaign management, direct partnerships, performance marketing, affiliate marketing, loyalty traffic, advertising optimization, revenue growth, digital media, sales, advertisin","Brown Boots is a sales agency focused on affiliate marketing, representing digital publishers. Founded by industry experts with over 30 years of experience, the company emphasizes loyalty traffic and ",http://www.linkedin.com/company/brown-boots,MIXED,success,gpt-4o-mini,v2
c3pa.net,C3PA Agency,AFFILIATE_PERFORMANCE,"C3PA Agency is a CPA affiliate network specializing in performance marketing, connecting advertisers with publishers/creators for customer acquisition.",32,Estonia,marketing & advertising,"affiliate marketing, digital marketing, internet traffic, cpa network, email marketing, affiliate network, performance marketing, cplcpacpicpvcpccpmetc, cpa marketing, affiliate, advertising services,","C3PA Agency, also known as C3PA Network, is a CPA (Cost Per Action) affiliate network and digital performance marketing agency with over 10 years of experience. The agency specializes in customer acqu",http://www.linkedin.com/company/c3pa,UK_EU,success,gpt-4o-mini,v1
cannaffi.com,CANNAFFI,AFFILIATE_PERFORMANCE,"The company focuses on performance marketing and affiliate marketing, indicating a connection between advertisers and publishers/creators.",10,United States,marketing & advertising,"social media, affiliate marketing, performance marketing, hemp, cannabidiol, cbd marketing, cannabis advertising, cbd, cannabis, multichannel sales, influencer, wellness, digital marketing, writer, di",CANNAFFI® is a performance marketing community. Learn more about CANNAFFI® by visiting us online at cannaffi.com.,http://www.linkedin.com/company/cannaffi,MIXED,error,gpt-4o-mini,v2
cashflow.center,CashFlow,AFFILIATE_PERFORMANCE,CashFlow is a performance marketing agency specializing in affiliate marketing and connecting advertisers with publishers/creators.,23,Turkey,marketing & advertising,"performance marketing, mobile user acquisition, affiliate marketing, advertising services, marketing & advertising","Cashflow Agency - Performance marketing agency with a strong, young and energetic team

We attract a large amount of high quality traffic in the most competitive and complex niches.",http://www.linkedin.com/company/cashflowagency,UK_EU,ConnectError,gpt-4o-mini,v1
cmaffs.com,CmAffiliates,AFFILIATE_PERFORMANCE,"CmAffiliates is an affiliate network specializing in performance marketing, connecting advertisers with publishers/creators in the crypto and forex sectors.",10,Ukraine,marketing & advertising,"affiliate marketing, direct brands only, cpl, partner marketing, cpa, cps, online marketing, desktop traffic, revshare, affiliation, mobile traffic, offers, cpa network, crypto leads, advertising serv","CMaffs is a crypto & forex Affiliate Network delivering the best custom, high-converting offers on the market.

With 15+ years of experience in affiliate marketing, our team knows exactly what affilia",http://www.linkedin.com/company/cmaffs,UK_EU,success,gpt-4o-mini,v1
commissionempire.com,Commission Empire,AFFILIATE_PERFORMANCE,"Commission Empire operates as a CPA network, connecting advertisers with publishers/creators through performance marketing.",16,United States,marketing & advertising,"advertising services, content marketing, traffic generation methods, tracking tools, advertising & marketing, performance assurance, sustainable relationships, digital marketing, b2b, cpa network, sea",One of the Faster Growing Affiliate Network Business,http://www.linkedin.com/company/commission-empire,US,success,gpt-4o-mini,v1
cpabuild.com,CPABuild - Premium Desktop & Mobile Content Locking,AFFILIATE_PERFORMANCE,"CPABuild operates as a CPA network, connecting advertisers with publishers/creators through performance marketing.",18,United States,marketing & advertising,"advertising services, marketing & advertising","Premium Content Locking CPA Network With Weekly Payouts, Amazing Pre-Built Templates, High Paying Offers, and More!",http://www.linkedin.com/company/cpabuild-premium-desktop-mobile-content-locking,US,ConnectError,gpt-4o-mini,v1
cpamatica.io,Cpamatica,AFFILIATE_PERFORMANCE,"Cpamatica is a global affiliate network and performance marketing agency specializing in CPA and affiliate marketing, connecting advertisers with publishers/creators.",39,Ukraine,marketing & advertising,"advertising, performance marketing, affiliate marketing, partner marketing, cpa marketing, advertising services, data analytics, lead generation, affiliate network, cpa network, in-house offers, traff","Cpamatica is a global affiliate network and performance marketing agency founded in 2015, based in Kyiv, Ukraine. The company specializes in CPA (Cost Per Action) and affiliate marketing, helping bran",http://www.linkedin.com/company/cpamatica,UK_EU,success,gpt-4o-mini,v1
cruva.com,Cruva,AFFILIATE_PERFORMANCE,"Cruva is a TikTok Shop Affiliate Outreach Tool that automates the process of finding and managing affiliates, indicating a focus on performance marketing and affiliate connections.",14,United States,information technology & services,"technology, information & internet, information technology & services",The AI Operating System for Social Commerce.,http://www.linkedin.com/company/cruva,MIXED,success,gpt-4o-mini,v2
dankcash.com,Dank Marketing,AFFILIATE_PERFORMANCE,"Dank Marketing operates as a CPA/CPC network, connecting advertisers with affiliates to maximize product promotion through performance-based marketing.",14,United States,marketing & advertising,"marketing, affiliate marketing, cpa, cpc, advertising, lead generation, advertising services, marketing & advertising, sales","DankCash is a brand new CPA/CPC Network interested in high-quality, high-volume Affiliates and eager Advertisers who are interested in maximizing the potential of their products and services through i",http://www.linkedin.com/company/dank-marketing,MIXED,error,gpt-4o-mini,v2
datify.link,Datify.LINK,AFFILIATE_PERFORMANCE,Datify.Link is a CPA affiliate network that connects advertisers with publishers/creators through performance marketing.,22,Estonia,marketing & advertising,"advertising services, marketing & advertising","Datify.Link is a CPA affiliate network and smartlink marketplace founded in 2019. It focuses on simplifying ad campaign launches and traffic monetization for webmasters, offering over 2,000 offers acr",http://www.linkedin.com/company/datify-link,UK_EU,success,gpt-4o-mini,v1
dedicatedmedia.com,Dedicated Media - A Nexstar Digital Company,AFFILIATE_PERFORMANCE,"Dedicated Media operates as a performance marketing solutions partner, focusing on driving conversions and measurable ROI for brands.",15,United States,marketing & advertising,"lead generation, cpl, mobile, cpm, cpa, social, video, performance, display, advertising services, marketing & advertising, sales, internet, information technology & services","Dedicated Media, a division of Nexstar Digital LLC, is a premier performance marketing solutions partner that drives highly engaged consumers to brands. As a pioneer in the industry since 2004, Dedica",http://www.linkedin.com/company/dedicated-media,US,ConnectError,gpt-4o-mini,v1
deets.com,Deets,AFFILIATE_PERFORMANCE,"Deets partners can sell their guides and earn commission when people book from their recommendations, indicating a performance-based monetization model.",32,United States,information technology & services,"technology, information & media, information technology & services","An AI powered travel platform that is building the world's best personalized guides for booking hotels, restaurants, and events",http://www.linkedin.com/company/deetstravel,US,success,gpt-4o-mini,v2
devils.inc,Traffic Devils,AFFILIATE_PERFORMANCE,"Traffic Devils operates in the affiliate marketing space, driving traffic and connecting advertisers with publishers/creators.",250,Ukraine,marketing & advertising,"mediabuying, mediabuying & affiliate marketing, affiliate marketing, advertising services, marketing & advertising","DEVILS is the leading media buying company in Eastern Europe with over 6 years of experience in the affiliate industry. We drive high traffic volumes across various verticals, utilizing 6 traffic sour",http://www.linkedin.com/company/trafficdevils,UK_EU,success,gpt-4o-mini,v1
dmipartners.com,DMi Partners,AFFILIATE_PERFORMANCE,"DMi Partners specializes in affiliate marketing and performance marketing, connecting advertisers with publishers/creators.",140,United States,marketing & advertising,"ppc, direct response marketing, search engine optimization, lead generation, monetization, affiliate program management, affiliate marketing, search engine marketing, email marketing, inbound marketin","DMi Partners is a full-service performance marketing agency based in Philadelphia, Pennsylvania, established in 2003. The agency specializes in digital marketing solutions designed to enhance clients'",http://www.linkedin.com/company/dmi-partners,US,success,gpt-4o-mini,v1
donivdigitalmedia.com,Doniv Digital Media LLC,AFFILIATE_PERFORMANCE,"Doniv Digital Media LLC is described as an affiliate marketing company, connecting advertisers with targeted traffic.",18,United States,marketing & advertising,"and, advertising services, marketing & advertising","#1 affiliate marketing company, offering the unmatched high quality targeted traffic for the businesses like you",http://www.linkedin.com/company/doniv-digital-media-llp,US,success,gpt-4o-mini,v1
evanderaffiliates.com,Evander Affiliates,AFFILIATE_PERFORMANCE,"Evander Affiliates operates as an affiliate marketing network, connecting advertisers with publishers/creators by conversion.",34,United States,marketing & advertising,"advertising, marketing, affiliate marketing, advertising services, marketing & advertising",An Affiliate Marketing Network,http://www.linkedin.com/company/evander-affiliates,US,ConnectError,gpt-4o-mini,v1
fillymedia.com,Filly Media Solutions Pvt. Ltd.,AFFILIATE_PERFORMANCE,"Filly Media Solutions Pvt. Ltd. connects brands with publishers through affiliate marketing solutions, indicating a focus on performance marketing.",17,India,marketing & advertising,"digital marketing, digital pr, cpl, cpm, cpa, cps, app installs, desktop marketing, cpv, branding, social media marketing, cpi, mobile marketing, cpc, content marketing, affiliate marketing, performan","Filly Media Solutions Pvt. Ltd. is a performance marketing and digital marketing company based in Gurugram. Established on April 24, 2020, the company focuses on connecting brands with publishers thro",http://www.linkedin.com/company/fillymedia-com,INDIA,success,gpt-4o-mini,v1
fuul.xyz,Fuul,AFFILIATE_PERFORMANCE,"Fuul enables the launch of affiliate and referral programs to boost user growth, connecting advertisers with influencers and partners through commission structures.",16,United States,information technology & services,"blockchain services, information technology & services","Fuul is the incentives engine for global, blockchain-enabled businesses.
It unifies affiliates, cashback, loyalty, and gamified incentives while natively tracking onchain activity and distributing tok",http://www.linkedin.com/company/fuulhq,US,success,gpt-4o-mini,v1
globalaffiliates.org,Global Affiliates,AFFILIATE_PERFORMANCE,"Global Affiliates is a marketing agency specializing in comprehensive promotion services, including influencer marketing, across global digital advertising platforms.",59,United Kingdom,information technology & services,"technology, information & internet, information technology & services","Global Affiliates is a marketing agency based in Singapore, specializing in comprehensive promotion services across global digital advertising platforms. Founded on August 18, 2020, the company operat",http://www.linkedin.com/company/global-affiliates-link,UK_EU,success,gpt-4o-mini,v1
globalcommercemedia.com,Global Commerce Media GmbH,AFFILIATE_PERFORMANCE,"Global Commerce Media GmbH generates a significant portion of its income through affiliate marketing, connecting advertisers with consumers via its high-quality websites.",130,United States,marketing & advertising,"advertising services, performance marketing, website development, traffic optimization, multilingual websites, services, ad network, web search portals, libraries, archives, and other information serv","Global Commerce Media GmbH (GCM) is a performance media and digital content company based in New York City. Founded in 2020, GCM focuses on creating high-quality websites that provide well-researched,",http://www.linkedin.com/company/global-commerce-media,US,success,gpt-4o-mini,v1
goaler.in,GOALER,AFFILIATE_PERFORMANCE,"The company runs various CPA, CPI, and user acquisition campaigns, indicating a focus on performance marketing and connecting advertisers with a network for conversions.",21,India,marketing & advertising,"brand awareness, customer acquisition, social media marketing, digital marketing, advertising services, consumer internet, consumers, internet, information technology & services, marketing & advertisi","We blend global digital technologies to help businesses build their brand presence through our extensive organic network. We provide effective digital marketing solutions by running various CPA,CPI, u",http://www.linkedin.com/company/goaler,INDIA,ConnectError,gpt-4o-mini,v2
gooffers.net,Gooffers.net,AFFILIATE_PERFORMANCE,"GoOffers is an affiliate network that effectively monetizes publisher traffic sources, connecting advertisers with publishers for conversions.",15,United States,marketing & advertising,"advertising services, marketing & advertising","GoOffers, Inc is one of the premier affiliate networks in the industry. Since 2008, we have earned a solid reputation for effectively monetizing our publisher's traffic sources to get them the highest",http://www.linkedin.com/company/gooffers,US,ConnectError,gpt-4o-mini,v1
ibotta.com,Ibotta,AFFILIATE_PERFORMANCE,Ibotta is a performance marketing platform that connects brands with consumers through targeted digital promotions and cash back offers.,890,United States,information technology & services,"advertising, consumer discretionary, technology, information & media, information technology & services","Ibotta is a performance marketing platform and consumer rewards company based in Denver, Colorado. Founded in 2012, Ibotta allows shoppers to earn cash back on their purchases while helping brands con",http://www.linkedin.com/company/ibotta-inc-,US,success,gpt-4o-mini,v1
impactscale.io,Impact Scale,AFFILIATE_PERFORMANCE,"Impact Scale specializes in performance marketing, connecting advertisers with high-intent consumers, which aligns with affiliate marketing practices.",16,United States,information technology & services,"marketing & leadgen, technology, information & media, information technology & services","We are a performance marketing powerhouse specializing in customer acquisition at scale. Our data-driven approach and proprietary technology connect high-intent consumers with the brands they need, de",http://www.linkedin.com/company/impactscale,US,success,gpt-4o-mini,v1
impulsemg.com,Impulse Marketing Group,AFFILIATE_PERFORMANCE,"The company operates an affiliate network that connects advertisers with publishers/creators, focusing on performance-based marketing.",200,United States,marketing & advertising,"turnkey campaign development, marketing expertise, publisher reach, advertising services, marketing & advertising","Ten year old internet marketing/advertising company generating leads and sales for financial, health/beauty and other verticals.  Our affiliate network is ten years old; one of the oldest in the perfo",http://www.linkedin.com/company/impulse-marketing-group,US,ConnectTimeout,gpt-4o-mini,v1
incentmr.com,Incent MR LLC,AFFILIATE_PERFORMANCE,"The company offers affiliate programs and performance marketing solutions, indicating a focus on connecting advertisers with publishers/creators and monetizing based on conversions.",11,United States,marketing & advertising,"advertising services, branding, performance marketing, affiliate programs, lead management, predictive modeling, lead generation, app monetization, rewarded advertising, influencer marketing, content ","Incent MR LLC combines data, predictive modelling, automation, and digital marketing to engage audiences based on their intent and interests to help you acquire your target customers at the right mome",http://www.linkedin.com/company/mr-incent-llc,MIXED,ConnectError,gpt-4o-mini,v2
interest-media.com,"Interest Media, Inc",AFFILIATE_PERFORMANCE,"Interest Media specializes in performance marketing and connects advertisers with publishers, monetizing based on tangible actions rather than impressions.",33,United States,marketing & advertising,"advertising network, advertising technology, performance marketing, affiliate marketing, user acquisition, lead generation, publisher monetization, data acquisition, affiliate advertising, advertising","Interest Media, Inc. is a Kansas City-based company founded in 2020 that specializes in intent-based, data-driven performance marketing. The company helps brands acquire motivated customers through ta",http://www.linkedin.com/company/interestmediainc,US,success,gpt-4o-mini,v1
jasongerres.ws,J & H Markeeting,AFFILIATE_PERFORMANCE,J & H Marketing is an affiliate marketing company that promotes websites and business opportunities for a commission.,24,United States,marketing & advertising,"website promotion & video marketing & video seo, website promotion, video marketing & video seo, advertising services, marketing & advertising","J & H Marketing is an affiliate marketing company, promoting websites and business opportunities for a comission.
 We are currently working with GDI or Global Domains International which is one of the",http://www.linkedin.com/company/j-&-h-markeeting,US,ConnectTimeout,gpt-4o-mini,v1
