domain,name,country,city,website_url,description,industry,total_funding_printed,_parsed_funding,founded_year,investors,_source
aheadhealth.com,Ahead Health,Switzerland,Zurich,https://aheadhealth.com,"AI-powered preventive health — full-body MRI, blood tests (81 biomarkers), CT scans in 30 min. Founded 2024 by ex-Google execs. Expanding to DE, NL, AT.",Health Tech / Preventive Health,$6M,6000000,2024,"RTP Global, Tiny.VC, Pareto 20",web_research
labology.ch,Labology,Switzerland,Zurich,https://labology.ch,"Preventive blood testing in Zurich and Geneva without prescription. Essential, Fatigue, Sport, Nutrition panels.",Health Tech / DTC Blood Testing,,,,,web_research
care.me,CARE,Switzerland,,https://care.me,"Preventive health check platform across 9 Swiss cities. Blood tests at partner labs. Results via CARE app. Hormones, vitamins, longevity.",Health Tech / Preventive Health,,,,,web_research
yourself.health,Yourself Health,Switzerland,St. Gallen,https://yourself.health,"Digital health startup — home health check-ups. Test kits by Swiss Post, analyzed by Medisyn/Bioanalytica/Dr. Risch.",Health Tech / DTC Home Testing,,,,,web_research
rikai.ch,Rikai,Switzerland,Winterthur,https://rikai.ch,Home-sampling kits for blood testing with results and health insights. Founded Feb 2021.,Health Tech / DTC Home Testing,,,2021,,web_research
macromo.com,Macromo,Czech Republic,Prague,https://macromo.com,"AI-driven health insights via DNA analysis and at-home blood tests. App integrates lab results and wearable data. 5,000+ users. Sold via Alza.cz.",Health Tech / DNA + Blood Testing,Undisclosed (TCF Capital),,,TCF Capital (Tomas Cupr / Rohlik),web_research
biogena.com,Biogena (diagnostics),Austria,,https://biogena.com,Austria's leading health brand. At-home capillary blood and urine self-tests for micronutrient status and metabolism.,Health Tech / Supplements + Testing,Private (family business),,,,web_research
blodklar.dk,BlodKlar,Denmark,,https://blodklar.dk,"Danish platform for direct-access blood tests without referral. Wellness checks, disease screenings, health assessments.",Health Tech / DTC Blood Testing,,,,,web_research
validahealth.dk,Valida Health,Denmark,,https://validahealth.dk,"Danish diagnostic clinic — prevention and health optimization. Blood tests, intolerance, hormones, DNA, intestinal flora.",Health Tech / DTC Diagnostics,,,,,web_research
laegernedanmark.dk,Lægerne Danmark,Denmark,,https://laegernedanmark.dk,Private healthcare — blood tests and health screening packages without referral.,Health Tech / Private Healthcare,,,,,web_research
puhti.fi,Puhti,Finland,Helsinki,https://puhti.fi,Lab tests without referral at 75 labs in 50 municipalities in Finland. Launched Vital in Sweden. Founded 2018. Acquired by Mehilainen 2020.,Health Tech / DTC Blood Testing,Acquired by Mehilainen,,2018,,web_research
bodyiq.co.nz,BODYiQ (by Awanui),New Zealand,,https://bodyiq.co.nz,"NZ's leading self-requested testing service. 80+ tests, 150+ collection centres. Pathologist-designed panels. GP access if abnormal.",Health Tech / DTC Blood Testing,Backed by Awanui Group,,,,web_research
pocketlab.nz,Pocket Lab,New Zealand,,https://pocketlab.nz,"Personalized testing — diabetes, cholesterol, STI, iron, thyroid. Nationwide NZ. From $39.",Health Tech / DTC Blood Testing,,,,,web_research
i-screen.co.nz,i-screen (NZ),New Zealand,,https://i-screen.co.nz,"Health screening. Home test kits, returned by post, results via dashboard. Also operates in Australia.",Health Tech / Home Screening,,,,,web_research
